keyword_id	keyword_name	movie_count	assigned_moods	assignment_type	confidence	short_reason
18165	animals	734	Uncategorized	none	low	wildlife can be cute or educational (low-conf Interested removed) (low-conf Happy removed)
9882	space	733	Interested,Surprised	multi	medium	cosmic exploration, wonder
2041	island	730	Uncategorized	none	medium	setting
4458	post-apocalyptic future	730	Sad,Afraid	multi	high	devastated world, dread and grief
13015	terrorism	725	Afraid,Angry	multi	high	violence evokes fear and outrage
10349	survival	718	Interested,Afraid	multi	high	life-or-death stakes, tension
1794	yakuza	716	Interested,Afraid	multi	medium	Japanese organized crime, tension
11612	hospital	714	Sad	single	medium	illness and medical crisis
13028	writer	714	Uncategorized	none	low	creative profession (low-conf Interested removed)
3725	pregnancy	711	Happy,Afraid	multi	medium	new life but also anxiety
9935	travel	710	Happy,Interested	multi	medium	exploration and discovery
966	beach	708	Uncategorized	none	medium	setting not emotion: Dunkirk=war, Jaws=horror, Baywatch=comedy, no consistent mood
161316	social documentary	706	Interested,Sad	multi	medium	social issues awareness
273967	war	702	Sad,Afraid,Angry	multi	high	armed conflict evokes grief, fear, rage
3616	college	700	Uncategorized	none	low	campus life (low-conf Interested removed) (low-conf Happy removed)
886	movie business	697	Uncategorized	none	low	industry insight (low-conf Interested removed)
4470	punk rock	695	Happy,Angry	multi	medium	rebellious energy and excitement
325765	amused	693	Happy	single	high	direct mood descriptor
931	jealousy	689	Sad,Angry	multi	high	possessive emotion
578	rock 'n' roll	686	Happy	single	medium	energetic music
5657	australia	683	Uncategorized	none	high	country tag
179431	duringcreditsstinger	679	Uncategorized	none	high	structural tag
15101	based on children's book	675	Uncategorized	none	high	source material tag
616	witch	667	Afraid	single	medium	supernatural antagonist
167043	road movie	667	Happy,Interested	multi	medium	journey narrative
174109	documentary filmmaking	665	Interested	single	medium	craft exploration
207268	neo-noir	664	Sad,Afraid	multi	medium	dark modern crime, dread and melancholy
208611	1950s	656	Uncategorized	none	high	decade tag
13059	prostitution	651	Sad,Disgusted	multi	medium	exploitation, sadness and revulsion
5783	classical music	650	Interested	single	medium	classical music in film (Fantasia, TAR) evokes cultural fascination
2673	horse	643	Uncategorized	none	medium	animal, not mood-specific
5248	female friendship	638	Happy	single	medium	bonds of companionship
287803	experimental cinema	637	Interested,Surprised	multi	medium	unconventional filmmaking
4048	musician	631	Uncategorized	none	medium	profession
10610	live	630	Uncategorized	none	high	broadcast format
10508	teacher	629	Uncategorized	none	medium	profession
240315	mother daughter relationship	629	Happy,Sad	multi	low	mother-daughter films (Barbie, Turning Red) have strong Happy elements, consistent with parent-child
263237	covid-19	629	Sad,Afraid	multi	high	pandemic, fear and loss
12279	family drama	628	Interested,Sad	multi	medium	family conflict
3335	halloween	625	Happy,Afraid	multi	medium	spooky celebration
10809	teenage girl	625	Uncategorized	none	medium	demographic tag
11322	female protagonist	621	Uncategorized	none	high	character tag
281358	science fiction	621	Interested,Surprised	multi	medium	speculative futures, curiosity and wonder
977	cat	617	Uncategorized	none	low	cute companion animal (low-conf Happy removed)
1416	jazz	614	Happy,Interested	multi	medium	expressive music genre
10391	mafia	612	Interested,Afraid	multi	medium	organized crime, tension
9253	slapstick comedy	611	Happy	single	high	physical humor
14636	india	610	Uncategorized	none	high	country tag
310	artificial intelligence (a.i.)	608	Interested,Afraid	multi	medium	tech fascination and existential concern
6158	cult	608	Interested,Afraid	multi	medium	manipulative groups, dread and fascination
33637	super power	607	Happy,Interested	multi	medium	extraordinary abilities, excitement
496	poetry	604	Interested	single	medium	poetry in film (Dead Poets Society) evokes intellectual fascination, not grief
5699	music video	602	Happy	single	medium	music-performance tag leans upbeat/entertaining
1721	fight	601	Interested,Angry	multi	medium	physical conflict
14544	robot	601	Interested,Surprised	multi	medium	technology and wonder
296608	teenager	600	Uncategorized	none	medium	demographic tag
311315	dramatic	599	Sad	single	low	broad dramatic tone (low-conf Interested removed)
13006	torture	597	Disgusted,Afraid,Angry	multi	high	extreme cruelty evokes revulsion, fear, outrage
18034	desert	597	Uncategorized	none	medium	setting
2504	world war i	592	Sad,Afraid	multi	high	war suffering
6733	bullying	590	Sad,Angry	multi	high	harassment evokes outrage and empathy
780	kung fu	589	Interested	single	medium	martial arts action
697	loss of loved one	588	Sad	single	high	bereavement, deep grief
1329	canada	584	Uncategorized	none	high	country tag
1480	baseball	584	Uncategorized	none	low	sport (low-conf Interested removed) (low-conf Happy removed)
10551	ballet	584	Happy,Interested	multi	medium	graceful art form
3358	haunted house	582	Afraid	single	high	classic horror setting
186753	jidaigeki	582	Interested	single	medium	jidaigeki films (Seven Samurai, Harakiri) evoke intellectual fascination
208349	kids	582	Happy	single	medium	children's content, lighthearted
15127	killer	579	Afraid	single	high	threat of violence
1551	indigenous	576	Uncategorized	none	low	cultural identity (low-conf Interested removed)
240303	father daughter relationship	574	Happy,Sad	multi	low	father-daughter bonds emotionally bipolar (Interstellar), consistent with parent-child
240847	social & cultural documentary	574	Interested	single	medium	social awareness
10685	escape	572	Interested,Afraid	multi	medium	flight from danger
612	hotel	571	Uncategorized	none	medium	setting
214548	1930s	571	Uncategorized	none	high	decade tag
288394	suspense	571	Interested,Afraid	multi	high	tension and uncertainty
131	italy	570	Uncategorized	none	high	country tag
163037	lgbt teen	570	Interested,Sad	multi	medium	LGBT teen films combine self-discovery with coming-out pain, like coming-of-age
282633	history	570	Interested	single	medium	historical exploration
1003	photographer	569	Uncategorized	none	low	creative profession (low-conf Interested removed)
10322	native american	569	Uncategorized	none	low	cultural identity (low-conf Interested removed)
898	hip-hop	562	Happy	single	medium	energetic music genre
320420	hilarious	560	Happy	single	high	direct humor descriptor
417	corruption	557	Disgusted,Angry	multi	high	institutional abuse
41329	mental illness	557	Sad	single	high	psychological suffering
1900	immigration	556	Interested,Sad	multi	medium	displacement and new beginnings
10937	memory	556	Interested,Sad	multi	medium	recollection, nostalgia and contemplation
157955	childhood	555	Happy,Sad	multi	medium	innocence and nostalgia
11034	b movie	553	Surprised	single	low	campy entertainment (low-conf Happy removed)
18001	rock band	552	Happy	single	medium	energetic music
12987	poverty	550	Sad,Angry	multi	high	deprivation evokes empathy and frustration
6025	photography	548	Uncategorized	none	low	creative craft (low-conf Interested removed)
10085	betrayal	547	Sad,Angry	multi	high	broken trust
10594	money	547	Uncategorized	none	medium	too generic
323114	crime	546	Interested,Afraid	multi	medium	criminal activity, tension
5331	village	543	Uncategorized	none	medium	setting
13014	orphan	542	Sad	single	high	parental loss
10637	food	541	Uncategorized	none	low	culinary themes (low-conf Interested removed) (low-conf Happy removed)
10180	male homosexuality	539	Uncategorized	none	high	identity tag
13065	soldier	539	Sad,Afraid	multi	medium	military service, danger and sacrifice
15160	divorce	538	Sad,Angry	multi	high	relationship dissolution
154866	archive footage	538	Uncategorized	none	high	production material
5540	heavy metal	537	Happy,Angry	multi	medium	aggressive music, energy
10051	heist	537	Happy,Interested	multi	medium	clever planning, excitement
10909	lawyer	537	Uncategorized	none	low	legal profession (low-conf Interested removed)
269769	based on tv series	537	Uncategorized	none	high	source material tag
10410	conspiracy	535	Interested,Afraid	multi	medium	hidden plots, paranoia
215678	partially lost film	534	Uncategorized	none	high	archival status
1262	mountain	532	Uncategorized	none	medium	setting
12396	hollywood	532	Uncategorized	none	low	industry setting (low-conf Interested removed)
325761	admiring	532	Happy	single	high	direct positive emotion descriptor
33722	true crime	529	Interested,Afraid	multi	high	real criminal cases, tension
478	china	528	Uncategorized	none	high	country tag
13088	summer	526	Happy	single	medium	warm season, leisure
1803	drug addiction	525	Sad,Disgusted	multi	high	substance dependency, suffering
10163	cancer	524	Sad	single	high	terminal illness, grief
3030	nightmare	523	Afraid	single	high	sleep terror, dread
10726	gang	523	Afraid,Angry	multi	medium	criminal groups, violence
1936	blackmail	519	Afraid,Angry	multi	high	coercion and threat
456	mother	517	Happy,Sad	multi	low	mother films evoke warmth (Everything Everywhere) and grief (Dumbo)
256183	supernatural horror	516	Afraid	single	high	paranormal fear
281585	inspirational	516	Happy	single	high	uplifting and motivating
395	gambling	515	Interested,Afraid	multi	medium	risk and excitement
2804	exploitation	514	Disgusted,Angry	multi	high	taking advantage
278823	3d animation	512	Uncategorized	none	high	production technique
3485	comedian	507	Happy	single	high	humor performer
1523	obsession	505	Interested,Afraid	multi	medium	compulsive fixation, unsettling
316332	mystery	504	Interested,Surprised	multi	high	enigma and revelation
285961	low budget	503	Uncategorized	none	high	production category
286957	adaptation	503	Uncategorized	none	high	source material tag
186	christianity	502	Uncategorized	none	low	religious theme (low-conf Interested removed)
10614	tragedy	502	Sad	single	high	genre defined by sorrow and loss
1556	texas	497	Uncategorized	none	high	geographic tag
6496	basketball	497	Uncategorized	none	low	sport (low-conf Interested removed) (low-conf Happy removed)
387	california	496	Uncategorized	none	high	geographic tag
1462	samurai	495	Interested	single	medium	Japanese warrior, honor and combat
9856	flashback	495	Uncategorized	none	medium	narrative technique
314730	suspenseful	493	Interested,Afraid	multi	high	direct tension descriptor
7464	alcoholism	492	Sad,Disgusted	multi	high	addiction suffering
227302	portrait of an artist	491	Interested	single	medium	creative biography
162365	military	490	Interested,Afraid	multi	medium	armed forces, tension
9833	lesbian relationship	489	Uncategorized	none	low	romantic bond (low-conf Happy removed)
12436	architecture	489	Uncategorized	none	low	design discipline (low-conf Interested removed)
1706	experiment	488	Interested,Surprised	multi	medium	scientific exploration
240237	mother son relationship	488	Happy,Sad	multi	low	consistent with all relationship keywords
2708	hitman	485	Afraid	single	high	professional killer, threat
179430	aftercreditsstinger	484	Uncategorized	none	high	structural tag
14760	scientist	483	Interested	single	medium	research and discovery
161919	adult animation	483	Surprised	single	low	mature animated content (low-conf Happy removed)
10093	priest	481	Uncategorized	none	low	religious figure (low-conf Interested removed)
12616	dinosaur	481	Interested,Afraid	multi	medium	prehistoric creatures, awe and danger
596	adultery	480	Sad,Angry	multi	high	marital betrayal
2964	future	480	Interested	single	medium	speculative setting
9914	slice of life	478	Happy,Interested	multi	medium	everyday moments, warmth
2754	trauma	473	Sad,Afraid	multi	high	psychological wounds
293336	experimental film	471	Interested,Surprised	multi	medium	unconventional cinema
390	skateboarding	470	Uncategorized	none	low	youth sport culture (low-conf Happy removed)
198299	live music	470	Happy	single	medium	live performance energy
10787	jungle	469	Uncategorized	none	medium	setting
291	circus	468	Happy,Surprised	multi	medium	entertainment spectacle
284843	takarazuka revue	468	Uncategorized	none	low	Japanese musical theater (low-conf Happy removed)
220	berlin, germany	467	Uncategorized	none	high	setting
1419	gun	465	Afraid	single	medium	weapon, threat
4232	melancholy	465	Sad	single	high	direct sadness descriptor
321464	intense	464	Interested,Afraid	multi	medium	direct intensity descriptor
282	video game	463	Uncategorized	none	low	interactive entertainment (low-conf Interested removed) (low-conf Happy removed)
6259	psychopath	463	Disgusted,Afraid	multi	high	dangerous personality
246	dancing	461	Happy	single	medium	joyful movement
3230	male friendship	461	Happy	single	medium	bonds of companionship
321490	historical documentary	460	Interested	single	medium	history exploration
170827	sex comedy	459	Happy	single	medium	humorous sexual content
2470	education	452	Interested	single	medium	learning themes
34094	extramarital affair	452	Sad,Angry	multi	high	relationship betrayal
253695	christian film	452	Uncategorized	none	low	faith-based content (low-conf Interested removed) (low-conf Happy removed)
736	journalist	450	Interested	single	medium	investigative profession
164246	nostalgic	445	Happy,Sad	multi	medium	bittersweet remembrance
10041	dysfunctional family	443	Sad,Angry	multi	high	troubled family dynamics
10541	curse	443	Afraid	single	high	supernatural threat
14602	break-up	440	Sad,Angry	multi	high	relationship ending
5600	daughter	439	Happy,Sad	multi	medium	relationship keyword, parent-child consistency
298721	women	438	Uncategorized	none	high	demographic tag
74	germany	437	Uncategorized	none	high	country tag
392	england	435	Uncategorized	none	high	country tag
3356	quebec	435	Uncategorized	none	high	geographic tag
548	countryside	434	Uncategorized	none	low	pastoral setting, tranquil (low-conf Happy removed)
5609	nostalgia	433	Happy,Sad	multi	medium	bittersweet longing for the past
12197	compilation	433	Uncategorized	none	high	format tag
437	painter	432	Uncategorized	none	low	creative profession (low-conf Interested removed)
1442	winter	432	Sad	single	low	cold season, melancholy associations
162735	disability	432	Interested,Sad	multi	medium	physical/mental challenges
782	assassin	430	Afraid	single	high	professional killer
514	spain	429	Uncategorized	none	high	country tag
1739	holocaust (shoah)	427	Sad,Disgusted,Angry	multi	high	genocide, grief and horror
9712	possession	426	Afraid	single	high	demonic control
9720	woods	425	Afraid	single	medium	isolated setting, often horror
14768	single mother	425	Happy,Sad	multi	low	single parents experience both joy and hardship
290527	transgender	425	Uncategorized	none	high	identity tag
12564	werewolf	421	Afraid	single	high	horror creature
15060	period drama	421	Interested	single	medium	historical fiction
14765	church	420	Uncategorized	none	medium	setting/institution
41645	based on video game	420	Uncategorized	none	high	source material tag
276810	takarazuka	420	Uncategorized	none	low	Japanese musical theater (low-conf Happy removed)
10596	argentina	419	Uncategorized	none	high	country tag
6150	faith	418	Uncategorized	none	low	spiritual belief (low-conf Interested removed) (low-conf Happy removed)
13031	creature	417	Afraid	single	medium	monster/beast
333328	sport	417	Happy,Interested	multi	medium	athletic competition
2356	immigrant	416	Interested,Sad	multi	medium	displacement and adaptation
798	sheriff	415	Uncategorized	none	low	law enforcement (low-conf Interested removed)
324429	romantic	415	Happy	single	high	direct romance descriptor
4932	farm	414	Uncategorized	none	low	rural life (low-conf Happy removed)
2752	ranch	413	Uncategorized	none	medium	setting
271	competition	412	Happy,Interested	multi	medium	contest and rivalry
9727	thief	412	Interested	single	medium	criminal figure
156212	spaghetti western	411	Interested	single	medium	genre subtype
2334	nightclub	410	Uncategorized	none	low	entertainment venue (low-conf Happy removed)
15009	criminal	409	Interested,Afraid	multi	medium	lawbreaker
11004	rural area	407	Uncategorized	none	medium	setting
1284	identity	406	Interested	single	medium	self-exploration
294531	documentary film	406	Interested	single	medium	informational format
14735	motorcycle	404	Uncategorized	none	medium	vehicle
262228	observational documentary	404	Interested	single	medium	fly-on-the-wall format
12369	tokyo, japan	403	Uncategorized	none	high	setting
1013	homophobia	402	Sad,Angry	multi	high	discrimination
4129	widow	402	Sad	single	high	spousal loss
6782	addiction	402	Sad,Disgusted	multi	high	dependency suffering
8624	climbing	402	Uncategorized	none	low	outdoor sport (low-conf Interested removed)
33494	couple	402	Happy,Sad	multi	medium	relationship keyword, partner films show connection and conflict
11700	rock music	399	Happy	single	medium	energetic music
33841	incest	398	Disgusted	single	high	taboo relationship
5918	painting	397	Uncategorized	none	low	visual art (low-conf Interested removed)
246884	filmed theater	396	Uncategorized	none	low	stage recording (low-conf Interested removed)
14895	cannibal	395	Disgusted	single	high	human consumption, disgust primary
334118	dollar baby	395	Uncategorized	none	high	licensing category
15061	docudrama	394	Interested	single	medium	dramatized documentary
6656	one-man show	391	Uncategorized	none	low	solo performance (low-conf Interested removed) (low-conf Happy removed)
2231	drug dealer	390	Afraid,Angry	multi	medium	criminal enterprise
18339	human rights	389	Interested,Sad,Angry	multi	high	justice and injustice
5905	father	388	Happy,Sad	multi	low	father films show devotion/pride and loss/conflict
428	nurse	387	Uncategorized	none	medium	profession
12354	hong kong	386	Uncategorized	none	high	geographic tag
192772	historical drama	386	Interested,Sad	multi	medium	period conflict
658	sea	385	Uncategorized	none	medium	setting
1200	greece	384	Uncategorized	none	high	country tag
259376	playful	384	Happy	single	high	direct joy descriptor
14985	ireland	383	Uncategorized	none	high	country tag
582	san francisco, california	382	Uncategorized	none	high	setting
1009	baby	381	Happy	single	medium	new life, tenderness
11931	spoof	381	Happy	single	high	comedic parody
325762	adoring	381	Happy	single	high	direct affection descriptor
1664	eroticism	380	Uncategorized	none	medium	sexual content category
9738	ufo	380	Interested,Surprised,Afraid	multi	medium	unexplained phenomena
12988	pirate	380	Happy,Interested	multi	medium	adventure on the seas
15479	fashion	379	Uncategorized	none	low	design industry (low-conf Interested removed)
272851	environmental documentary	379	Interested,Sad	multi	medium	ecological awareness
567	alcohol	378	Sad	single	low	substance, often linked to problems
188973	pandemic	378	Sad,Afraid	multi	high	disease outbreak, fear and loss
2210	climate change	377	Sad,Afraid,Angry	multi	high	environmental crisis
3800	airplane	376	Uncategorized	none	medium	transport
10794	snow	376	Uncategorized	none	medium	weather/setting
1991	santa claus	374	Happy	single	high	Christmas joy
248870	memories	374	Happy,Sad	multi	medium	bittersweet recollection
3679	society	373	Uncategorized	none	low	social themes (low-conf Interested removed)
15126	historical	373	Interested	single	medium	period content
738	sexuality	371	Uncategorized	none	medium	broad topic
3036	bible	371	Uncategorized	none	low	religious text (low-conf Interested removed)
176834	social media	371	Uncategorized	none	low	modern technology (low-conf Interested removed)
516	child abuse	370	Sad,Disgusted,Angry	multi	high	violence against children
579	american football	370	Uncategorized	none	low	sport (low-conf Interested removed) (low-conf Happy removed)
10950	shootout	369	Afraid	single	medium	gunfight violence
12392	best friend	369	Happy	single	high	close companionship
13063	car accident	368	Sad,Afraid	multi	high	sudden catastrophe
6844	stalker	367	Disgusted,Afraid	multi	high	predatory pursuit
239902	political documentary	366	Interested,Angry	multi	medium	political analysis
